sentence,length,ambiguous_words,incorrect_words,candidate_analyses
তাৰ পৰা ৭ লাখ ৩০ হাজাৰ টকা উদ্ধাৰ কৰা হয় ।,11,5,2,360
এতেকে ঈশ্বৰৰ ' মন'ক জনাৰ অৰ্থ আচলতে প্ৰকৃতিৰ নিয়মসমূহক জনা ।,11,5,2,64
"যদি সংক্ৰমিত হৈছিল , তেওঁলোকৰ অৱস্থা ইমান গুৰুতৰ নাছিল যে তেওঁলোকে চিকিৎসালয়লৈ যাব লগীয়া হৈছিল ।",16,10,3,9216
এই আঞ্চলিকসমূহৰ বিভিন্ন সমস্যাৰাজি আৰু সাংগঠনিক দিশৰ ওপৰতো বিশদভাৱে আলোচনা কৰা হয় ।,13,10,2,72576
আমি কোনো সংগঠনৰ জন্ম ৰহস্য নাজানোঁ নতুবা আমাৰ প্ৰজন্মৰ কোনো সেই সংগঠনৰ সদস্যও নহয় ।,15,5,2,108
"তেওঁ পুনৰ কয় "" আজিৰে পৰা মই পশ্চিম বংগৰ সৈতে এক অবিচ্ছেদ্য সংযোগ স্থাপন কৰিছো ।",16,7,2,320
আমাৰ আচল চিন্তা সেইখিনিতেই ।,5,1,0,2
অৰ্জুনে কৈছিল যে গোটেই পৰিয়ালটো সন্মত হৈছিল ।,8,5,1,96
হাতিয়াৰ তৈয়াৰ আৰু ব্যৱহাৰ কৰি মানুহে নিজ ইচ্ছা অনুযায়ী স্বেচ্ছাকৃতভাৱে প্ৰকৃতিক ৰূপান্তৰ কৰিছিল ।,14,8,0,2304
আমাৰ নাগৰিকত্ব সংশোধনী আইনৰ ওপৰত প্ৰথমে দিয়া মত সলনি নহয় ।,11,7,3,1080
বহুতে এই অতি বিৰল দৃশ্যটো চাব বিচাৰে ।,8,5,1,1800
চিন্তা আৰু অনুভৱ হৈছে আমাৰ মনত অনবৰতে চলি থকা এটা প্ৰক্ৰিয়া ।,12,6,1,648
দ্বিতীয় বিশ্বযুদ্ধত শত্ৰুৰ হাতৰ পৰা ৰক্ষা পাবলৈকে বাসগৃহৰ তলত নিৰ্মাণ কৰা হৈছিল এটা বাংকাৰ ।,15,7,2,1440
১৫ আগষ্টৰ পুৱা ভাগত লোকজনক সহকৰ্মীসকলে প্ৰত্যক্ষ কৰিছিল যদিও তাৰ পিছৰ পৰা তেওঁ সন্ধানহীন হৈ আছিল ।,17,10,2,9600
চাটনিবোৰ সোৱাদযুক্ত মছলা ; কেতিয়াবা সেইবোৰ ঘৰত বনোৱা হয় আৰু আনবোৰ দোকানৰ পৰা ক্ৰয় কৰা হয় ।,17,9,1,34560
কেতিয়াবা কেতিয়াবা আপোনালোক হৈ পৰে কোনো এক শ্ৰেণীৰ স্তাৱক ।,10,6,1,648
এশ জনতকৈ অধিক মানুহৰ সমাগম বন্ধ কৰাৰ লগতে জিলা প্ৰশাসনৰ অনুমতি হীন সভাবোৰ বাতিল কৰাৰ নিৰ্দেশ দিয়া হৈছে বুলিও কয় জিলা উপায়ুক্ত জনে ।,24,14,3,663552
এই পবিত্ৰ সভাৰ সুযোগ লৈ মুকলিভাবে চলি থকা জুৱা খেলৰ বিৰুদ্ধে প্ৰশাসনে কি পদক্ষেপ গ্ৰহণ কৰে সেয়া হ'ব লক্ষণীয় ।,20,13,2,311040
ইতিমধ্যে আৰক্ষীয়ে এই ঘটনাৰ লগত জড়িত ৬ জন লোকক আটক কৰবলৈ সক্ষম হৈছে ।,14,9,1,11664
ঐতিহাসিক শিৱসাগৰৰ শিৱ মহোৎসৱত ভৰি পৰিছিল দেশী-বিদেশী ভক্তৰে ।,9,5,0,240
সেয়ে এই দিশত সামৰ্থতা থকা ব্যক্তিৰ অতি প্ৰয়োজন ।,9,4,1,144
কিন্তু বৰ্তমান থিয়েটাৰ উদ্যোগটো অতি দুখ লগা অৱস্থাত আছে বুলি মন্তব্য কৰে ।,13,6,2,1440
আমাৰ দেশত মানুহ অলপমান শিকা-বুজ ।,6,3,1,8
ঘটনাত আহত হয় বিশ্ববিদ্যালয়খনৰ কেইবাগৰাকীও ছাত্ৰ ।,7,4,0,144
এই হিংসাত্মক ঘটনাত ৪০ জনৰো অধিক লোক গুৰুতৰ ভাবে আহত হৈছিল ।,12,8,2,2880
"যদিও ভাৰতত কেইবাখনো ৰাজ্য আছে য'ত আপুনি ৰেচম সামগ্ৰীৰ বাবে বজাৰ কৰিব পাৰে , অসমত ৰেচম স্বৰ্গৰ নিজা অংশ আছে ।",21,11,4,653184
আধুনিক সভ্যতাই স্পৰ্শ কৰা অসমীয়া জাতিৰ অতিকৈ মৰমৰ সম্পদ হিচাপে পৰিচিত অসমীয়া গহনাৰ প্ৰতি ভাবুকি আনিছে পশ্চিমীয়া সংস্কৃতিয়ে ।,19,15,1,123171840
কাৰণ অসমলৈ অহা বহু পৰ্যটকে এই অনুষ্ঠান ভ্ৰমণ কৰে ।,10,7,1,864
এই মিলত একাংশ অসাধু কাঠ ব্যৱসায়ীয়ে অতি মূল্যবান চোৰাং কাঠ ফালি জিলা খনৰ বিভিন্ন স্থানলৈ সৰবৰাহ কৰি আহিছিল ।,19,11,4,193536
অৱশ্যে যুৱকজনে কি কাৰণত এনেদৰে হাতত চোকা অস্ত্ৰ লৈ সংসদ ভৱনত প্ৰৱেশৰ চেষ্টা কৰিছিল সেই কথা বৰ্তমানলৈকে জানিব পৰা হোৱা নাই ।,22,13,3,1105920
"অনুষ্ঠানৰ লগত সংগতি ৰাখি তিৱা ভাষাত কবিতা আৰু গল্প পাঠ , তিৱা গীত আৰু নৃত্য পৰিৱেশিত হয় ।",18,7,1,1536
কম বয়সতে কিছুমান গুৰু-গম্ভীৰ দায়িত্ব লৈ আগবঢ়া বহু ব্যক্তি আমি দেখিছোঁ ।,12,6,4,288
চুলি কৰবাত কৰবাত পকিছেও ।,5,3,0,12
এতিয়া সেইখন মুখেৰে কৈছে তেওঁলোকৰ সামাজিক দায়বদ্ধতা আছে ।,9,6,2,216
"অৱশ্যে , মন্ত্ৰী বিজয় শ্বাহে এই অভিযোগ অস্বীকাৰ কৰিছে ।",10,6,1,864
অজুৱে দলৰ হৈ খেলুৱৈ হিচাপেও অৱতীৰ্ণ হ'ব ।,8,4,3,36
উল্লেখ্য যে চলিত বছৰৰ এপ্ৰিলমাহৰ পৰা বিধ্বংসী ৰূপ ধাৰণ কৰিবলৈ আৰম্ভ কৰা বানপানীৰ ফলত ৰাজ্যত প্ৰায় এক কোটি লোক ক্ষতিগ্ৰস্ত হৈছিল ।,22,14,2,3686400
দিল্লীৰ অন্তৰ্ভাগত বন্ধৰ কোনো প্ৰভাৱ নপৰে ।,7,4,1,72
নিশাৰ ভাগত প্ৰতিদিনে সংঘটিত হৈছে দুৰ্ঘটনা ।,7,5,1,300
"সংবাদ মাধ্যমৰ আগত সভাপতি ৰঞ্জিত দাসে কয় , স্মাৰকপত্ৰত এন আৰ চিত লাখ লাখ বিদেশীৰ নাম অন্তৰ্ভুক্ত হৈছে আৰু তাৰ বিপৰীতে লাখ লাখ স্বদেশীৰ নাম বাদ পৰা বুলি উল্লেখ কৰা হয় ।",32,22,7,39813120000
কাৰণ দিল্লীৰ সীমান্তত কৃষকসকলে মাহৰ পিছত মাহ ধৰি আন্দোলন কৰিছে আৰু প্ৰাণ হেৰুৱাইছে ।,14,9,3,10368
ই সবল ছাল তথা বোধশক্তি বৃদ্ধিত সহায় কৰে আৰু দৃষ্টিশক্তিৰ ক্ষীণতা সম্পৰ্কীয় ৰোগত বিপদৰ পৰা ৰক্ষা কৰে ।,18,14,4,13271040
কোনো কাৰণত দুজন যাব নোৱাৰিব দুচকীয়া বাহনত ।,8,7,6,1440
"হুনাৰ হাটে দেশৰ দক্ষ শিল্পী , কাৰিকৰ আৰু শিল্পকাৰসকলক উৎসাহিত কৰি আহিছে ।",13,8,1,3456
প্ৰকৃততে এৰা এক গুৰুত্বপূৰ্ণ পদক্ষেপ ।,6,5,0,192
গধুৰ ধাতু হ'ল তুলনামূলকভাৱে গাঢ় ধাতু ।,7,5,0,144
