"IdeaID","meaning","meaningAsm"
"25","large piece of woven material used as a covering for warmth, especially on a bed.","দেহৰ উষ্মতা বৃদ্ধিৰ বাবে ব্যৱহাৰ কৰা ডাঠ কাপোৰৰ আৱৰণ৷"
"26","A colorless, odorless, tasteless, gaseous mixture, mainly nitrogen (approximately 78 percent) and oxygen (approximately 21 percent) with lesser amounts of argon, carbon dioxide, hydrogen, neon, helium, and other gases. This mixture with varying amounts of moisture and particulate matter, envelops the earth.","কেইবাবিধো গেছীয় পদাৰ্থৰ এক বৰ্ণহীন, স্বাদহীন মিশ্ৰণ, য’ত প্ৰধানকৈ নাইট্ৰোজেন (প্ৰায় ৭৮ শতাংশ) আৰু অম্লজান বা অক্সিজেন (প্ৰায় ২১ শতাংশ) থাকে আৰু লগতে থাকে আৰ্গন, কাৰ্বন-ডাই-অক্সাইদ, হাইদ্ৰোজেন, নিয়’ন, হিলিয়াম আৰু অন্য কেতবোৰ গেছৰ সামান্য অংশ ৷ ভিন্ন পৰিমাণৰ জলীয় বাষ্প আৰু গোটা বস্তুৰ কণিকাৰে সৈতে এই মিশ্ৰণটোৱে পৃথিৱীখনক আৱৰি থাকে ৷"
"27","A military or armed service that conducts aerial warfare. It typically consists of a combination of fighters, bombers, helicopters, transport planes and other aircraft. ","কোনো দেশৰ সেনা বাহিনীৰ বিমানেৰে যুদ্ধ কৰা ভাগ৷"
"28","Of or relating to alcohol; characteristic of or containing alcohol.","সুৰাৰ লগত সম্পৰ্ক থকা অথবা সুৰা থকা ৷"
"29","refers to every member or the entire part of something.","কিহবাৰ গোটেইখিনিকে বা প্ৰতিজন সদস্যকে একেলগে বুজায়৷"
"30","distribution according to a plan or setting apart for a special purpose","কোনো নিয়ম অনুসৰি অথবা কোনো বিশেষ কাৰণত বিলাই দিয়া কাৰ্য্য"
"31","To let do or happen accordingly.","কিবা কৰিবলৈ বা হ’বলৈ সন্মতি দে ৷"
"32","Slightly short of or not quite accomplished.","প্ৰয়োজনীয়/নিৰ্দিষ্ট পৰিমাণতকৈ অকনমান কম ৷"
"33","Prior to a specified or implied time.","বৰ্তমান সময়ৰ আগতে ৷"
"34","in addition to what is already stated before","আগেয়ে কোৱাখিনিৰ উপৰিও"
"35","one in place of another","এটাৰ সলনি আনটো"
"36","an important official who lives in a foreign country to represent his or her own country there, and who is officially accepted in this position by that country.","বিদেশী ৰাষ্ট্ৰত নিজৰ দেশক প্ৰতিনিধিত্ব কৰা গুৰুত্বপূৰ্ণ বিষয়া, যাক সেই পদবীত উক্ত ৰাষ্ট্ৰখনে আনুষ্ঠানিকভাৱে স্বীকাৰ কৰি লয়।"
"37","Minor alteration or addition in a document, resolution, etc.","কোনো নথি বা সিদ্ধান্ত আদিত কৰা সাল-সলনি"
"38","an assamese sweet made with milk, cream and sugar.","গাখীৰ, চানা (ক্ৰিম) চেনি আদিৰে তৈয়াৰ কৰা এবিধ মিঠাই ৷"
"39","To examine (something) in detail in order to discover its meaning or essential features.","কোনো বস্তু বিশদভাৱে অধ্যয়ন কৰি তাৰ অৰ্থ অথবা অন্তৰ্নিহিত বিশেষত্ব উলিওৱা ৷"
"40","related to the old times","অতীত কালৰ সৈতে সম্বন্ধ থকা"
"41","the word joining two equivalent clauses.","দুটা বাক্যাংশ লগ লগোৱা শব্দ।"
"42","the amount of rotation needed to bring one line or plane into coincidence with another","কোনো এডাল ৰেখা আন এডাল ৰেখাত লগ লগাই দিবলৈ প্ৰয়োজন হোৱা ঘূৰণৰ পৰিমাণ৷"
"43","To make known publicly.","ৰাজহুৱাভাৱে অৱগত কৰা ৷"
"44","Any of various alternatives.","বহুতৰ ভিতৰত এজন/এটা ৷"
"45","a statement (either spoken or written) that is made to address a question or request or criticism or accusation","এটা প্ৰশ্ন, অনুৰোধ, সমালোচনা বা দোষাৰোপৰ বিপৰীতে স্পষ্টীকৰণৰূপে আগবঢ়োৱা বক্তব্য (কথিত বা লিখিত ৰূপত)"
"46","Any of various social insects of the family Formicidae, characteristically having wings only in the males and fertile females and living in colonies that have a complex social organization.","ফৰ্মিচাইদি গোত্ৰৰ অন্তৰ্গত এবিধ পতঙ্গ, যাৰ কেৱল মতা আৰু জনন ক্ষমতা থকা মাইকীবোৰৰ ক্ষেত্ৰতহে পাখি থাকে। ইহঁতে জুম বান্ধি একেলগে বাস কৰে আৰু ইহঁতৰ এক জটিল সামাজিক ব্যৱস্থা আছে। "
"47","One or some or every or all without specification.","কোনো নিশ্চিত নথকা; এটা, দুটা বা বহুতো ৷"
"48","A firm, edible, usually rounded fruit of a deciduous Eurasian tree (Malus pumila) having alternate simple leaves and white or pink flowers.","সৰল পাত আৰু বগা বা গুলপীয়া ৰঙৰ ফুল ধৰা, ইউৰোপ আৰু এছিয়াত উপলব্ধ এক পৰ্ণপাতী উদ্ভিদৰ খাব পৰা এক সুস্বাদু ফল।"
"49","one fourth of a rupee (or any monetory unit)","এটকাৰ চাৰিভাগৰ এভাগ"
"50","To come near or nearer, as in space or time.","সময় অথবা স্থানৰ পৰিবৰ্তন হৈ ওচৰলৈ/কাষলৈ আহ্ ৷"
"51","A geographical area having definable characteristics. ","নিৰ্দ্দিষ্ট গুণাগুণ বিশিষ্ট এক ভৌগোলিক পৰিসীমা| "
"52","Upper limb of the human body or forelimb of an animal. ","মানুহৰ হাত বা জন্তুৰ আগ ঠেং। "
"53","Of or charactaristics of armed forces or soldiers","সেনা বাহিনী বা সৈনিকৰ সৈতে সম্পৰ্ক থকা"
"54"," (used correlatively after an adjective or adverb prec. by an adverbial phrase, the adverbial as, or another adverb) to such a degree or extent that: It came out the same way as it did before. You are as good as you think you are.  ","এনে পৰ্য্যায়লৈকে যে; যিদৰে কোৱা হৈছে তেনেকৈ; উদাহৰণ স্বৰূপে"
"55","to seek information or clarification","তথ্য বা স্পষ্টীকৰণ বিচাৰ্"
"56","Assam is a state of India in the north-eastern region. Located south of the eastern Himalayas, Assam comprises the Brahmaputra Valley and the Barak river valleys along with the Karbi Anglong and the North Cachar Hills. 

Capital: Dispur (Guwahati), 

Coordinates:26.15° N 91.77° E","ভাৰতৰ উত্তৰ-পূবৰ এখন প্ৰদেশ৷"
"57","one who assist in carrying out a task.","কামত সহায় কৰি দিয়া ব্যক্তি৷"
"58","adposition to denote the location of sb/sth","কাৰোবাৰ বা কিহবাৰ স্থান বুজোৱা অব্যয়"
"59","The smallest component of an element having the chemical properties of the element ","যিকোনো এটা মৌলৰ নিজ ধৰ্ম বা গুণ বহন কৰা ক্ষুদ্ৰতম অংশ"
"60","a superior king with a large kingdom; the king of many kings.","ৰজাৰ ওপৰত ৰজা।"
"61","The act of setting upon in a forceful, violent, hostile, or aggressive way, with or without a weapon.","অপকাৰ কৰিবৰ মনেৰে খেদি ধৰা; অস্ত্ৰ লৈ অথবা বিনা অস্ত্ৰে ৷"
"62","younger sister of ones father.","নিজৰ দেউতাকৰ ভনীয়েক৷"
"63","suitable or ready for use; of use or service,readily obtainable; accessible ","সহজে পাব বা সংগ্ৰহ কৰিব পৰা "
"64","Located on, around, or in the direction of an axis.","অক্ষৰ ওপৰত, অক্ষৰ চাৰিওফালে অথবা অক্ষৰ দিশত ৷"
"65","not good in any manner or degree.","কোনো পৰিস্থিতিতে ভাল নোহোৱা অৱস্থা ৷"
"66","the remaining sum after all credits and debits are taken into account","সকলো জমা-খৰচৰ হিচাপ কৰাৰ পাছত হাতত থকা ধন"
"67","any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits","মুছা প্ৰজাতিৰ অন্তৰ্গত গা-গছৰ একেবাৰে প্ৰান্তত ডাঙৰ আকাৰৰ পাত থকা আৰু দীঘলীয়া ফলৰ থোক ধৰা, উষ্ণ-মণ্ডলীয় এবিধ উদ্ভিদ"
"68","the principal element or ingredient of anything, considered as its fundamental part","কোনো বস্তুৰ প্ৰধান উপাদান, যাক তাৰ মৌলিক অংশৰূপে ধৰা হয় ৷"
"69","a tool used to hit a ball in games like cricket.","ক্ৰিকেটৰ দৰে খেলত বলটো কোবাবলৈ ব্যৱহাৰ কৰা সঁজুলি"
"70","the act of washing ones body with water and soap","পানী আৰু চাবোনেৰে শৰীৰটো ধোৱা কাৰ্য্য"
"71","A room equipped for taking a bath or shower.","গা ধুবলৈ ব্যৱহাৰ কৰা যথোপযুক্ত ঘৰ৷ "
"72","The room of a house where sleep at night, having mainly the sleeping bed. ","ঘৰৰ যি কোঠালিত ৰাতি শোৱা হয়৷"
"73","a winged, hairy-bodied, usually stinging insects of the superfamily Apoidea in the order Hymenoptera, including both solitary and social species and characterized by sucking and chewing mouthparts for gathering nectar and pollen.","হাইমেনপ্টেৰা বৰ্গ আৰু এপইদিয়া পৰিয়ালৰ অন্তৰ্গত গাইগুটীয়া বা সামাজিক, এবিধ পাখিযুক্ত, গাত নোম থকা আৰু সাধাৰণতে বিন্ধিব পৰা ক্ষমতা থকা পতঙ্গ৷ ফুলৰ মৌ চুহিবৰ কাৰণে ইহঁতৰ মুখত বিশেষ ধৰণৰ অংশ থাকে৷ "
"74","the manner one treats another person. ","এজনে আনজনৰ সৈতে কৰা ক্ৰিয়া-প্ৰতিক্ৰিয়া। "
"75","the younger than any other in a given group","উল্লেখিত গোট বা সমষ্টিৰ ভিতৰত বয়সত সকলোতকৈ সৰু"
"76","Of a size many times bigger than the average","সচৰাচৰ আকৃতিতকৈ বহুগুণে বেছি ডাঙৰ"
"77","A warm-blooded, egg-laying, feathered vertebrate with the forelimbs modified to form wings. ","এযোৰ ডেউকা (পাখি) সহায়ত উৰিব পৰা এবিধ উষ্ণৰক্তী অণ্ডজ প্ৰাণী ।"
"78","lacking hue and brightness; absorbing light without reflecting any of the rays composing it","বৰণ আৰু উজ্জ্বলতা বিহীন; কোনো ৰশ্মি প্ৰতিফলিত নকৰি সকলো ৰশ্মি শোষণ কৰা"
"79","the fluid that circulates in the principal vascular system of human beings and other vertebrates, in humans consisting of plasma in which the red blood cells, white blood cells, and platelets are suspended","মানুহ আৰু অন্য মেৰুদণ্ডী প্ৰাণীৰ শৰীৰৰ সঞ্চালন তন্ত্ৰৰ মাজেদি প্ৰৱাহিত জুলীয়া পদাৰ্থ; মানুহৰ ক্ষেত্ৰত ই প্লাজমাৰ দ্বাৰা গঠিত, য’ত লোহিত ৰক্ত কণিকা, শ্বেত ৰক্ত কণিকা আৰু অনুচক্ৰিকা বিলাক ওপঙি থাকে ৷"
"80","the pure color of a clear sky; the primary color between green and violet in the visible spectrum, an effect of light with a wavelength between 450 and 500 nm. ","ফৰকাল আকাশৰ বিশুদ্ধ ৰং; সূৰ্য্য ৰশ্মিৰ সেডজীয়া আৰু বেগুণীয়াৰ মাজৰ ৰং, ৪৫০ আৰু ৫০০ নেন’মিটাৰৰ ভিতৰত তৰঙ্গ দৈৰ্ঘ্য-বিশিষ্ট পোহৰৰ প্ৰভাৱ"
"81","the physical structure and material substance of an animal or plant, living or dead.","জীৱিত বা মৃত, প্ৰাণী বা উদ্ভিদৰ শাৰীৰিক গঠন বা ভৌতিক ৰূপ।"
"82","An explosive weapon detonated by impact, proximity to an object, a timing mechanism, or other means.","খুন্দা খাই, স্পৰ্শত অথবা নিৰ্ধাৰিত সময়ত বিষ্ফোৰণ হোৱা এক আহিলা ৷"
"83","a printed reading material with a number of pages bound together","বহু পৃষ্ঠা একেলগ কৰি বন্ধোৱা ছপা কৰা পঠন সামগ্ৰী "
"84","the line demarking the outer limits of a particular area or a country","এখন দেৱাল, জেউৰা বা এডাল কাল্পনিক ৰেখা যি কোনো দেশ বা অঞ্চলৰ আন এখন দেশ বা অঞ্চলৰ পৰা পৃথক কৰে৷ "
"85","Two things or people together.","দুটা বস্তু বা দুজন মানুহ একেলগে |"
"86","Food obtained by begging (especially rice).","মাগি অনা ধান চাউল বা আন খোৱা বস্তু ।"
"87","a container, case, or receptacle, usually rectangular, of wood, metal, cardboard, etc., and often with a lid or removable cover. ","সাধাৰণতে আয়তাকাৰ, কাঠ, ধাতু, ডাঠ-বকলা আদিৰে নিৰ্মিত আৰু এখন খোলা-বন্ধ কৰিব পৰা ঢাকনি থকা বস্তু ৰখা পাত্ৰ বা আচবাব।"
"88","the soft white and gray matter enclosed inside the skull of human and other animals. It is the organ that controls physical and mental activities.","মানুহ আৰু অন্য জন্তুৰ লাওখোলাৰ ভিতৰত সোমাই থকা কোমল অঙ্গ বিশেষ, যি দেহৰ সকলো কাৰ্য্য নিয়ন্ত্ৰণ কৰে৷"
"89","able to face and deal with danger or fear","বিপদ বা ভয়ৰ সন্মুখীন হ’ব বা মোকামিলা কৰিব পৰা সামৰ্থ্য থকা"
"90","A light current of air; a gentle wind","অতি লাহে লাহে বলা বতাহ"
"91","In short or few words (write or tell sth)","চুটিকৈ বা মাথোঁ কেইটামান শব্দত (লিখা বা কোৱা)"
"92","Having lots of light either natural or artificial.","বহু পৰিমাণৰ প্ৰাকৃতিক অথবা কৃত্ৰিম পোহৰ যুক্ত৷"
"93","to move something towards the speaker","কওঁতাৰ ফালে কোনো বস্তু লৈ যোৱা"
"94","a person who takes commission to establish contacts between a seller and a buyer.","ধনৰ বিনিময়ত ক্ৰেতা আৰু বিক্ৰেতাৰ মাজত যোগাযোগ কৰি দিয়া লোক।"
"95","A male having the same parents as another or one parent in common with another","একে পিতৃ-মাতৃ অথবা একে পিতৃ বা মাতৃৰ দুই পুৰুষ সন্তানৰ মাজৰ সম্পৰ্ক"
"96","Any of various often nocturnal birds of prey of the order Strigiformes, having hooked and feathered talons, large heads with short hooked beaks, large eyes set forward, and fluffy plumage that allows for almost noiseless flight. ","স্ত্ৰীগিফৰ্মেছ্ বৰ্গৰ অন্তৰ্গত, ঠেঙত চুটি পাখি আৰু হাঁকোটা থকা, ডাঙৰ মূৰ আৰু চুটি বেঁকা ঠোঁট যুক্ত, আগলৈ ওলোৱা ডাঙৰ চকুৰে এবিধ নিশাচৰ পৰভোজী প্ৰাণী৷ ইহঁতৰ গোটেই গা পাতল, কোমল পাখিৰে আৱৰি থাকে বাবে প্ৰায় শব্দ নকৰাকৈ উৰিব পাৰে৷"
"97","a relatively permanent and large enclosed construction over a plot of land, having a roof and usually windows and often more than one level, used for any of a wide variety of activities, as living, entertaining, or manufacturing. ","সাধাৰণতে বহু খলপীয়া, ছাদ/চাল আৰু দুৱাৰ-খিৰিকি থকা, মানুহ থাকিবলৈ, আমোদ-প্ৰমোদৰ বাবে বা কোনো উত্পাদনৰ বাবে আদি বিভিন্ন কামত ব্যৱহাৰ কৰা, এক নিৰ্দিষ্ট সীমাৰ ভিতৰত সজা, আপেক্ষিকভাৱে স্থায়ী আৰু বৃহত্ ঘৰ ৷"
"98","about/of the third person mentioned","উল্লেখিত তৃতীয় পুৰুষৰ বা তৃতীয় পুৰুষৰ বিষয়ে"
"99","Introduces something in contrast or unexpected.","বিপৰীত বা অনাকাংক্ষিত কিবা এটা কোৱা বা লিখাৰ আগতে ব্যৱহাৰ হোৱা শব্দ"
"100","Each of the two fleshy protuberances at the rear of the human trunk","মানুহৰ দেহৰ পাচফালে সোঁমাজত থকা মঙহাল উখহা অংশ দুটা"
"101","to obtain sth in exchange of money.","ধনৰ বিনিময়ত কোনো বস্তু আহৰণ কৰা।"
"102","used (in the passive voice) to show the person or thing which performs an action
","কোনে বা কিহেৰে কোনো কাম কৰা হ’ল তাক বুজাবলৈ ব্যৱহাৰ কৰা অব্যয়"
"103","Structure of bars or wires, esp. for confining birds and animals.","জীৱ-জন্তু বা চৰাই-চিৰিকটি পলাই যাব নোৱাৰাকৈ ধৰি থবলৈ সজাঁ ঘৰ বা বেস্তনি৷"
"104","Devoid of noise or movement","লৰচৰ বা শব্দ নকৰা"
"105","a small metal container, usually with a cap.","টিন, এলুমিনিয়াম আদি ধাতুৰে তৈয়াৰী, ঢাকনি থকা সৰু পাত্ৰ৷"
"106","a person who is selected by others as a contestant for an office, prize, honor, etc.","কোনো কাৰ্য্যালয়, বিষয়, খিতাপ, আদিৰ বাবে অইন লোকৰ দ্বাৰা মনোনীত কৰা এজন ব্যক্তি।"
"107","A usually soft and close-fitting head covering","কাপোৰ আদিৰ দৰে কোমল পদাৰ্থৰে তৈয়াৰী মূৰত পিন্ধা যতন"
"108","An electrical device characterized by its capacity to store an electric charge.","বৈদ্যুতিক আধান সাঁচি ৰাখিব পৰা এবিধ বৈদ্যুতিক আহিলা।"
"109","the property of being able to collect a charge of electricity. the ratio of an impressed charge on a conductor to the corresponding change in potential.","বৈদ্যুতিক আদান সঞ্চয় কৰিব পৰা ক্ষমতা| কোনো পৰিবাহীত থকা আধাৰ আৰু ইয়াৰ বৈদ্যুতিক বিভৱৰ অনুপাত"
"110","A road vehicle powered by an engine.","যন্ত্ৰচালিত স্থল পথত চলাব পৰা বাহন।"
"111","Attentive assistance or treatment to those in need","যাক প্ৰয়োজন তেওঁক মনোযোগেৰে সৈতে সহায় বা নিৰাময় কৰা"
"112","A small carnivorous mammal domesticated since early times as a catcher of rats and mice and as a pet and existing in several distinctive breeds and varieties.","এন্দুৰ আৰু নিগনি ধৰাৰ বাবে আৰু পোহনীয়া হিচাপে আদিম কালৰে পৰা ঘৰচীয়া কৰা, বহুতো প্ৰজাতি আৰু প্ৰকাৰ ৰূপে উপলব্ধ এবিধ সৰু মাংসভোজী জন্তু  "
"113","a small room, as in a convent or prison","কোনো সৰু কুঠালী৷"
"114","pertaining to or characterized by cellules or cells, esp. minute compartments or cavities. ","কোষৰ লগত সমন্ধ থকা"
"115","Situated at, in, or near the center.","কেন্দ্ৰৰ মাজত, ওপৰত অথবা কাষতে থকা ৷"
"116","the event of geting or obtaining something","কোনো বস্তু পোৱা বা আহৰণ কৰা"
"117","a period of 10 decades or 100 years","১০ দশক বা ১০০ বছৰৰ এছোৱা সময়"
"118","A series of objects connected one after the other, usually in the form of a series of metal rings passing through one another, used either for various purposes requiring a flexible tie with high tensile strength, as for hauling, supporting, or confining, or in various ornamental and decorative forms.","এটা এটাকৈ বহুত লো বা ধাতুৰ আঙঠি জোৰা দি কৰা দীঘল ডোল ৷"
"119","one part of a big book/report","কোনো কিতাপ বা প্ৰতিবেদনৰ কোনো এটা বিষয়ৰ ওপৰত লিখা অংশ"
"120","a graphic display of data or information","তথ্যৰ ছবিৰ জৰিয়তে কৰা উপস্থাপন"
"121","to act dishonestly; practice fraud.","অসাধুভাৱে কাম কৰা; মিছা ভাও দিয়া।"
"122","either side of the face below the eye and above the jaw.","চকুৰ তলত আৰু হনুৰ ওপৰত মুখৰ দুয়ো ফাল।"
"123","a scientific instrument to measure precise time","সময় জোখা এটা বৈজ্ঞানিক উপকৰণ"
"124","A plane curve everywhere equidistant from a given fixed point, the center.","এটা নিৰ্দ্দিষ্ট বিন্দু, অৰ্থাত্ কেন্দ্ৰৰ পৰা সকলো স্থানতে সমদূৰত্বত থকা এডাল বক্ৰৰেখা"
"125","legistimate resident of a country","এখন দেশৰ বৈধ বাসিন্দা"
"126","A center of population, commerce, and culture; a town of significant size and importance.","জনসংখ্যা, বাণিজ্য আৰু সংস্কৃতিৰ এক কেন্দ্ৰ; যথেষ্ট ডাঙৰ আৰু গুৰুত্বপূৰ্ণ চহৰ"
"127","pertaining to the citizens","নাগৰিক সম্পৰ্কীয়"
"128","a chronometer kept on table or hang on the wall etc.","মেজৰ ওপৰত ৰখা বা দেৱালত আঁৰি থোৱা সময়-মাপক।"
"129","That aspect of things that is caused by differing qualities of the light reflected or emitted by them","যিকোনো বস্তুৰ এনে এটা ধৰ্ম, যিটো বস্তুটোৱে পোহৰৰ বিভিন্ন গুণ প্ৰতিফলন বা বিচ্ছুৰিত কৰাৰ বাবে দেখা যায় "
"130","Full of different colours.","বিভিন্ন ধৰণৰ ৰঙেৰে ভৰি থকা ।"
"131","to move towards oneself","নিজৰ ফালে গমন কৰা"
"132","a celestial body moving about the sun, usually in a highly eccentric orbit, consisting of a central mass surrounded by an envelope of dust and gas that may form a tail that streams away from the sun","সাধাৰণতে এক বিষম-কেন্দ্ৰিক কক্ষপথেৰে সূৰ্য্যক প্ৰদক্ষিণ কৰা এটা মহাজাগতিক বস্তু, যি ধূলি আৰু ধোঁৱাৰ আৱৰণেৰে আবৃত এক কেন্দ্ৰীয় ভৰেৰে গঠিত ৷ ধূলি আৰু ধোঁৱাই সূৰ্য্যৰ পৰা দূৰলৈ প্ৰসাৰিত এডাল নেজৰো সৃষ্টি কৰিব পাৰে ৷"
"133","A statement that expresses a personal opinion or belief or adds information.","কোনো কথা বা কাৰ্য্যৰ ওপৰত ক’ব লগীয়া কথা, য’ত নিজৰ মতামত, বিশ্বাস অথবা অভিপ্ৰায় জড়িত হৈ থাকে ৷"
"134","Shared between members of a group or community, esp. religious or ethnic communities","এটা গোট বা সম্প্ৰদায়ৰ, বিশেষকৈ ধৰ্মীয় বা গোষ্ঠীগত সম্প্ৰদায়ৰ সকলোৰে উমৈহতীয়া"
"135","a session of a given activity where winners are selected","কোনো নিৰ্দ্দিষ্ট ক্ৰিয়াৰ এক বিশেষ আয়োজন, য’ত বিজয়ী নিৰ্বাচিত কৰা হয়"
"136","A device that computes, especially a programmable electronic machine that performs high-speed mathematical or logical operations or that assembles, stores, correlates, or otherwise processes information.","গণনা কৰিব পৰা এবিধ বৈদ্যুতিন আহিলা। এবিধ বৈদ্যুতিন আহিলা যাৰ সহায়ত গাণিতিক আৰু যৌক্তিক কাৰ্য্যপ্ৰণালী ক্ষিপ্ৰতাৰে কৰিব পাৰি অথবা যিয়ে তথ্য (ইনফৰ্মেচন্) সংসাধন (প্ৰ’চেচ্) কৰিব অথবা সাঁচি থ’ব পাৰে। "
"138","a material through which heat, electricity or sound can be transmitted or conducted","তাপ, বিদ্যুৎ, শব্দ আদি এঠাইৰপৰা আন ঠাইলৈ লৈ যাপ পৰা কোনো মাধ্যম৷"
"139","the belief or faith in the ability of oneself","নিজৰ ওপৰত থকা বিশ্বাস, আস্থা ৷"
"140","A question or statement so framed as to exercise one`s ingenuity in answering it or discovering it`s meaning.","অনুমানৰ দ্বাৰা বুজিবলৈ কোৱা গূঢ়াৰ্থক অথবা গুপ্তাৰ্থক কথা"
"141","compliance in or approval of what is done or proposed by another","আনে কৰা বা প্ৰস্তাৱ কৰা কামৰ প্ৰতি সহমত"
"142","the system of fundamental principles according to which a nation, state, corporation, or the like, is governed","মৌলিক নীতি বা আদৰ্শৰ পদ্ধতি, যাৰ জৰিয়তে এখন দেশ, ৰাষ্ট্ৰ, নিগম আদি পৰিচালিত হয়"
