Wrd,posAsm,posEng,IdeaID,Meanings
পিছে-পিছে,ক্ৰিয়া বিশেষণ,Adverb,20,"পাছত,পৰত্ৰে,অনন্তৰে,গিদে-গিদে"
পোকৰে-পোকৰে,ক্ৰিয়া বিশেষণ,Adverb,20,"পাছত,পৰত্ৰে,অনন্তৰে,গিদে-গিদে"
চমুকৈ,ক্ৰিয়া বিশেষণ,Adverb,91,"সংক্ষেপে,মুঠতে,মোটৰ ওপৰত,মোটমাত"
থোৰতে,ক্ৰিয়া বিশেষণ,Adverb,91,"সংক্ষেপে,মুঠতে,মোটৰ ওপৰত,মোটমাত"
সংক্ষেপে,ক্ৰিয়া বিশেষণ,Adverb,91,"মুঠতে,মোটৰ ওপৰত,মোটমাত,থুলমুলকৈ"
মুঠতে,ক্ৰিয়া বিশেষণ,Adverb,91,"সংক্ষেপে,মোটৰ ওপৰত,মোটমাত,থুলমুলকৈ"
মোটৰ ওপৰত,ক্ৰিয়া বিশেষণ,Adverb,91,"সংক্ষেপে,মুঠতে,মোটমাত,থুলমুলকৈ"
মোটমাত,ক্ৰিয়া বিশেষণ,Adverb,91,"সংক্ষেপে,মুঠতে,মোটৰ ওপৰত,থুলমুলকৈ"
থুলমুলকৈ,ক্ৰিয়া বিশেষণ,Adverb,91,"সংক্ষেপে,মুঠতে,মোটৰ ওপৰত,মোটমাত"
চমুৱাই,ক্ৰিয়া বিশেষণ,Adverb,91,"সংক্ষেপে,মুঠতে,মোটৰ ওপৰত,মোটমাত"
চুটিকৈ,ক্ৰিয়া বিশেষণ,Adverb,91,"সংক্ষেপে,মুঠতে,মোটৰ ওপৰত,মোটমাত"
সম্প্ৰতি,ক্ৰিয়া বিশেষণ,Adverb,164,"সধ্যে,সদ্য,সদ্যহতে,সাম্প্ৰত"
সদ্যহতে,ক্ৰিয়া বিশেষণ,Adverb,164,"সম্প্ৰতি,সধ্যে,সদ্য,সাম্প্ৰত"
সাম্প্ৰত,ক্ৰিয়া বিশেষণ,Adverb,164,"সম্প্ৰতি,সধ্যে,সদ্য,সদ্যহতে"
সধ্যে,ক্ৰিয়া বিশেষণ,Adverb,164,"সম্প্ৰতি,সদ্য,সদ্যহতে,সাম্প্ৰত"
সদ্য,ক্ৰিয়া বিশেষণ,Adverb,164,"সম্প্ৰতি,সধ্যে,সদ্যহতে,সাম্প্ৰত"
প্ৰত্যেক,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
প্ৰতি,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
প্ৰতিজন,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
জনেপতি,ক্ৰিয়া বিশেষণ,Adverb,213,"জনে জনে,প্ৰতিজনে,গাইপতি,জনমূৰি"
জনে জনে,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,প্ৰতিজনে,গাইপতি,জনমূৰি"
প্ৰতিজনে,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,গাইপতি,জনমূৰি"
গাইপতি,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,জনমূৰি"
জনমূৰি,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
নামমূৰি,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
নামমূৰে,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
হৰেক,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
গায়ে-গায়ে,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
একোটা,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
একোজন,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
প্ৰতিটো,ক্ৰিয়া বিশেষণ,Adverb,213,"জনেপতি,জনে জনে,প্ৰতিজনে,গাইপতি"
ঠাৰি,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ,নিশ্চয়কৈ"
ঠাৱৰকৈ,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,অৱশ্য,থিৰাংকৈ,নিশ্চয়কৈ"
অৱশ্য,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,থিৰাংকৈ,নিশ্চয়কৈ"
নিশ্চয়,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
খাটাংকৈ,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
ধূৰুপকৈ,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
নিশ্চিতভাৱে,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
থিৰাংকৈ,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,নিশ্চয়কৈ"
নিশ্চয়কৈ,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
নিশ্চয়ে,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
নিসন্দেহে,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
অসংশয়ে,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
জৰুৰ,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
নিঃসন্দেহে,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
নিশ্চয়ৰূপে,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
ছিদাংকৈ,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
দ্ব্যৰ্থহীনভাৱে,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
নিতান্ত,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
জৰুল,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
অলবত,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
নিশ্চিতৰূপে,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
স্থানীয় ভাৱে,ক্ৰিয়া বিশেষণ,Adverb,398,locally
প্ৰাকৃতিকভাৱে,ক্ৰিয়া বিশেষণ,Adverb,455,"স্বভাৱসিদ্ধভাৱে,naturally,স্বাভাৱিকতে,normally"
স্বাভাৱিকতে,ক্ৰিয়া বিশেষণ,Adverb,455,"স্বভাৱসিদ্ধভাৱে,প্ৰাকৃতিকভাৱে,naturally,normally"
স্বভাৱসিদ্ধভাৱে,ক্ৰিয়া বিশেষণ,Adverb,455,"প্ৰাকৃতিকভাৱে,naturally,স্বাভাৱিকতে,normally"
নাই,ক্ৰিয়া বিশেষণ,Adverb,467,"না,নাইকিয়া,নাস্তি,ওহোঁ"
না,ক্ৰিয়া বিশেষণ,Adverb,467,"নাইকিয়া,নাস্তি,ওহোঁ,নাহি"
নাইকিয়া,ক্ৰিয়া বিশেষণ,Adverb,467,"না,নাস্তি,ওহোঁ,নাহি"
নাস্তি,ক্ৰিয়া বিশেষণ,Adverb,467,"না,নাইকিয়া,ওহোঁ,নাহি"
ওহোঁ,ক্ৰিয়া বিশেষণ,Adverb,467,"না,নাইকিয়া,নাস্তি,নাহি"
নাহি,ক্ৰিয়া বিশেষণ,Adverb,467,"না,নাইকিয়া,নাস্তি,ওহোঁ"
এতিয়া,ক্ৰিয়া বিশেষণ,Adverb,472,"অধুনা,এবে,ইদানীক,now"
অধুনা,ক্ৰিয়া বিশেষণ,Adverb,472,"এবে,ইদানীক,এতিয়া,now"
এবে,ক্ৰিয়া বিশেষণ,Adverb,472,"অধুনা,ইদানীক,এতিয়া,now"
ইদানীক,ক্ৰিয়া বিশেষণ,Adverb,472,"অধুনা,এবে,এতিয়া,now"
ইতা ,ক্ৰিয়া বিশেষণ,Adverb,472,"অধুনা,এবে,ইদানীক,এতিয়া"
আনন্দেৰে,ক্ৰিয়া বিশেষণ,Adverb,528,"উচ্ছুকে,ৰংমনে,সোল্লাসে,প্ৰফুল্লচিত্তে"
আনন্দিত ভাৱে,ক্ৰিয়া বিশেষণ,Adverb,528,"উচ্ছুকে,ৰংমনে,সোল্লাসে,প্ৰফুল্লচিত্তে"
উচ্ছুকে,ক্ৰিয়া বিশেষণ,Adverb,528,"ৰংমনে,সোল্লাসে,প্ৰফুল্লচিত্তে,প্ৰসন্নমনে"
ৰংমনে,ক্ৰিয়া বিশেষণ,Adverb,528,"উচ্ছুকে,সোল্লাসে,প্ৰফুল্লচিত্তে,প্ৰসন্নমনে"
সোল্লাসে,ক্ৰিয়া বিশেষণ,Adverb,528,"উচ্ছুকে,ৰংমনে,প্ৰফুল্লচিত্তে,প্ৰসন্নমনে"
প্ৰফুল্লচিত্তে,ক্ৰিয়া বিশেষণ,Adverb,528,"উচ্ছুকে,ৰংমনে,সোল্লাসে,প্ৰসন্নমনে"
প্ৰসন্নমনে,ক্ৰিয়া বিশেষণ,Adverb,528,"উচ্ছুকে,ৰংমনে,সোল্লাসে,প্ৰফুল্লচিত্তে"
প্ৰসন্নচিত্তে,ক্ৰিয়া বিশেষণ,Adverb,528,"উচ্ছুকে,ৰংমনে,সোল্লাসে,প্ৰফুল্লচিত্তে"
হৃষ্টচিত্তে,ক্ৰিয়া বিশেষণ,Adverb,528,"উচ্ছুকে,ৰংমনে,সোল্লাসে,প্ৰফুল্লচিত্তে"
হৃষ্টমনে,ক্ৰিয়া বিশেষণ,Adverb,528,"উচ্ছুকে,ৰংমনে,সোল্লাসে,প্ৰফুল্লচিত্তে"
উৎফুলে,ক্ৰিয়া বিশেষণ,Adverb,528,"উচ্ছুকে,ৰংমনে,সোল্লাসে,প্ৰফুল্লচিত্তে"
লৌ-লৌ কৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"তৰাতাৰি,ত্বৰিতে,কোবেৰে,ক্ষিপ্ৰবেগে"
দ্ৰুতভাৱে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
সোনকালে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
বেগাই,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
লৰালৰিকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
বেগাবেগিকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
খৰকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
ততাতৈয়াকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
খৰখেদাকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
তৎকালে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
তৰাতাৰি,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,ত্বৰিতে,কোবেৰে,ক্ষিপ্ৰবেগে"
ত্বৰিতে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,কোবেৰে,ক্ষিপ্ৰবেগে"
কোবেৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,ক্ষিপ্ৰবেগে"
ক্ষিপ্ৰবেগে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
দ্ৰুতবেগে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
পট্ পট্ কৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
বেগেতাই,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
পলকতে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
পটাপট,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
খৰধৰকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
লৰা-ঢপৰাকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
টপাটপ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
কোবাকুবিকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
হিল-দ’ল ভাঙি,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
লৰি-ঢাপৰি,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
সতকাই,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
ঘপহ কৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
সত্বৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
তৌ তৌ কৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
খপ্‌জপকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
হুৰমূৰকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
ক্ষিপ্ৰতাৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
বেগতে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
টপৰাই,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
ক্ষিপ্ৰভাৱে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
সোঁ-সোঁ কৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
সোঁ-সোঁৱাই,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
দৰদৰি,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
ততাভুকুতাকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
হুৰমুৰকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
হুৰমুৰাই,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
খপৰাই,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
খপ কৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
জাণ্টে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
ঝাণ্টে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
তৎকালতে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
পটকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
চোঁত কৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
চোঁতকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
সাউত কৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
সাউতকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
বেগেৰে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
বায়ুবেগে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
তাৎক্ষণিকভাৱে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
দৌৰা-দৌৰিকৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
তৎকালীনভাৱে,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
থিয়ৈ-থিয়ৈ,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
লগে লগে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
সোনকালে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
থিতাতে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
শীঘ্ৰে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
ততালিকে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
তুৰন্তে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
হাতে হাতে,ক্ৰিয়া বিশেষণ,Adverb,573,"তৎকালীন,তৎকালিক,তদ্দণ্ডে,অচিৰে"
থিতাদহে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
নিমিষতে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
তৎকালীন,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালিক,তদ্দণ্ডে,অচিৰে"
তৎকালিক,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তদ্দণ্ডে,অচিৰে"
তদ্দণ্ডে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,অচিৰে"
অচিৰে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
অচিৰতে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
অবিলম্বে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
দপাটকৈ,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
তৎক্ষণাৎ,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
তেতিক্ষণে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
তেতিয়াই,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
অনতিপলমে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
তিন্‌টলকতে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
ক্ষন্তেকতে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
অনন্তৰ,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
আশু,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
এতিয়াই,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
এতিক্ষণে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
পচাৰতে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
মুহূৰ্ততে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
চকুৰ পচাৰতে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
মাত্ৰকে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
মাত্ৰেই,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
অনতিবিলম্বে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
পোনছাটে,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
পোনছাটেই,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
অচিৰেই,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
সতৰাই,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
